geoName,Name,RelativePopularity,Locations,Employees,Revenue (M)
Alabama,Blimpie,0,156,1000,63
Alaska,Blimpie,0,156,1000,63
Arizona,Blimpie,4,156,1000,63
Arkansas,Blimpie,0,156,1000,63
California,Blimpie,0,156,1000,63
Colorado,Blimpie,0,156,1000,63
Connecticut,Blimpie,0,156,1000,63
Delaware,Blimpie,0,156,1000,63
District of Columbia,Blimpie,0,156,1000,63
Florida,Blimpie,0,156,1000,63
Georgia,Blimpie,3,156,1000,63
Hawaii,Blimpie,0,156,1000,63
Idaho,Blimpie,40,156,1000,63
Illinois,Blimpie,0,156,1000,63
Indiana,Blimpie,0,156,1000,63
Iowa,Blimpie,5,156,1000,63
Kansas,Blimpie,0,156,1000,63
Kentucky,Blimpie,0,156,1000,63
Louisiana,Blimpie,0,156,1000,63
Maine,Blimpie,0,156,1000,63
Maryland,Blimpie,0,156,1000,63
Massachusetts,Blimpie,0,156,1000,63
Michigan,Blimpie,0,156,1000,63
Minnesota,Blimpie,0,156,1000,63
Mississippi,Blimpie,0,156,1000,63
Missouri,Blimpie,0,156,1000,63
Montana,Blimpie,0,156,1000,63
Nebraska,Blimpie,4,156,1000,63
Nevada,Blimpie,0,156,1000,63
New Hampshire,Blimpie,0,156,1000,63
New Jersey,Blimpie,10,156,1000,63
New Mexico,Blimpie,0,156,1000,63
New York,Blimpie,3,156,1000,63
North Carolina,Blimpie,0,156,1000,63
North Dakota,Blimpie,0,156,1000,63
Ohio,Blimpie,0,156,1000,63
Oklahoma,Blimpie,0,156,1000,63
Oregon,Blimpie,0,156,1000,63
Pennsylvania,Blimpie,0,156,1000,63
Rhode Island,Blimpie,0,156,1000,63
South Carolina,Blimpie,3,156,1000,63
South Dakota,Blimpie,0,156,1000,63
Tennessee,Blimpie,0,156,1000,63
Texas,Blimpie,0,156,1000,63
Utah,Blimpie,10,156,1000,63
Vermont,Blimpie,0,156,1000,63
Virginia,Blimpie,0,156,1000,63
Washington,Blimpie,0,156,1000,63
West Virginia,Blimpie,0,156,1000,63
Wisconsin,Blimpie,0,156,1000,63
Wyoming,Blimpie,8,156,1000,63
Alabama,Schlotzsky's,0,330,0,0
Alaska,Schlotzsky's,0,330,0,0
Arizona,Schlotzsky's,0,330,0,0
Arkansas,Schlotzsky's,0,330,0,0
California,Schlotzsky's,0,330,0,0
Colorado,Schlotzsky's,0,330,0,0
Connecticut,Schlotzsky's,0,330,0,0
Delaware,Schlotzsky's,0,330,0,0
District of Columbia,Schlotzsky's,0,330,0,0
Florida,Schlotzsky's,0,330,0,0
Georgia,Schlotzsky's,0,330,0,0
Hawaii,Schlotzsky's,0,330,0,0
Idaho,Schlotzsky's,0,330,0,0
Illinois,Schlotzsky's,0,330,0,0
Indiana,Schlotzsky's,0,330,0,0
Iowa,Schlotzsky's,0,330,0,0
Kansas,Schlotzsky's,0,330,0,0
Kentucky,Schlotzsky's,0,330,0,0
Louisiana,Schlotzsky's,0,330,0,0
Maine,Schlotzsky's,0,330,0,0
Maryland,Schlotzsky's,0,330,0,0
Massachusetts,Schlotzsky's,0,330,0,0
Michigan,Schlotzsky's,0,330,0,0
Minnesota,Schlotzsky's,0,330,0,0
Mississippi,Schlotzsky's,0,330,0,0
Missouri,Schlotzsky's,0,330,0,0
Montana,Schlotzsky's,0,330,0,0
Nebraska,Schlotzsky's,0,330,0,0
Nevada,Schlotzsky's,0,330,0,0
New Hampshire,Schlotzsky's,0,330,0,0
New Jersey,Schlotzsky's,0,330,0,0
New Mexico,Schlotzsky's,0,330,0,0
New York,Schlotzsky's,0,330,0,0
North Carolina,Schlotzsky's,0,330,0,0
North Dakota,Schlotzsky's,0,330,0,0
Ohio,Schlotzsky's,0,330,0,0
Oklahoma,Schlotzsky's,3,330,0,0
Oregon,Schlotzsky's,0,330,0,0
Pennsylvania,Schlotzsky's,0,330,0,0
Rhode Island,Schlotzsky's,0,330,0,0
South Carolina,Schlotzsky's,0,330,0,0
South Dakota,Schlotzsky's,0,330,0,0
Tennessee,Schlotzsky's,0,330,0,0
Texas,Schlotzsky's,5,330,0,0
Utah,Schlotzsky's,0,330,0,0
Vermont,Schlotzsky's,0,330,0,0
Virginia,Schlotzsky's,0,330,0,0
Washington,Schlotzsky's,0,330,0,0
West Virginia,Schlotzsky's,0,330,0,0
Wisconsin,Schlotzsky's,0,330,0,0
Wyoming,Schlotzsky's,0,330,0,0
Alabama,Subway,165,37540,410000,16100
Alaska,Subway,2934,37540,410000,16100
Arizona,Subway,262,37540,410000,16100
Arkansas,Subway,301,37540,410000,16100
California,Subway,259,37540,410000,16100
Colorado,Subway,135,37540,410000,16100
Connecticut,Subway,123,37540,410000,16100
Delaware,Subway,88,37540,410000,16100
District of Columbia,Subway,141,37540,410000,16100
Florida,Subway,127,37540,410000,16100
Georgia,Subway,169,37540,410000,16100
Hawaii,Subway,1075,37540,410000,16100
Idaho,Subway,330,37540,410000,16100
Illinois,Subway,204,37540,410000,16100
Indiana,Subway,265,37540,410000,16100
Iowa,Subway,320,37540,410000,16100
Kansas,Subway,249,37540,410000,16100
Kentucky,Subway,246,37540,410000,16100
Louisiana,Subway,309,37540,410000,16100
Maine,Subway,292,37540,410000,16100
Maryland,Subway,128,37540,410000,16100
Massachusetts,Subway,101,37540,410000,16100
Michigan,Subway,196,37540,410000,16100
Minnesota,Subway,280,37540,410000,16100
Mississippi,Subway,539,37540,410000,16100
Missouri,Subway,213,37540,410000,16100
Montana,Subway,650,37540,410000,16100
Nebraska,Subway,279,37540,410000,16100
Nevada,Subway,261,37540,410000,16100
New Hampshire,Subway,131,37540,410000,16100
New Jersey,Subway,76,37540,410000,16100
New Mexico,Subway,239,37540,410000,16100
New York,Subway,179,37540,410000,16100
North Carolina,Subway,111,37540,410000,16100
North Dakota,Subway,268,37540,410000,16100
Ohio,Subway,227,37540,410000,16100
Oklahoma,Subway,150,37540,410000,16100
Oregon,Subway,404,37540,410000,16100
Pennsylvania,Subway,132,37540,410000,16100
Rhode Island,Subway,125,37540,410000,16100
South Carolina,Subway,159,37540,410000,16100
South Dakota,Subway,380,37540,410000,16100
