geoName,Name,RelativePopularity,Locations,PercentageBreakdown,Rank
Alabama,Subway,165,37540,57,1
Alabama,Jimmy Johns,63,2755,21,2
Alabama,Firehouse Subs,40,1200,13,3
Alabama,Jersey Mikes,6,1973,2,4
Alabama,Quiznos,5,500,1,5
Alabama,Which Wich,4,431,1,5
Alabama,Jason's Deli,4,300,1,5
Alabama,Blimpie,0,156,0,8
Alabama,Schlotzsky's,0,330,0,8
Alabama,Potbelly Sandwich,0,474,0,8
Alaska,Subway,2934,37540,82,1
Alaska,Quiznos,300,500,8,2
Alaska,Firehouse Subs,200,1200,5,3
Alaska,Jimmy Johns,117,2755,3,4
Alaska,Blimpie,0,156,0,5
Alaska,Schlotzsky's,0,330,0,5
Alaska,Jersey Mikes,0,1973,0,5
Alaska,Which Wich,0,431,0,5
Alaska,Potbelly Sandwich,0,474,0,5
Alaska,Jason's Deli,0,300,0,5
Arizona,Subway,262,37540,46,1
Arizona,Jimmy Johns,193,2755,34,2
Arizona,Firehouse Subs,39,1200,6,3
Arizona,Quiznos,23,500,4,4
Arizona,Jersey Mikes,25,1973,4,4
Arizona,Blimpie,4,156,0,6
Arizona,Schlotzsky's,0,330,0,6
Arizona,Which Wich,4,431,0,6
Arizona,Potbelly Sandwich,4,474,0,6
Arizona,Jason's Deli,5,300,0,6
Arkansas,Subway,301,37540,60,1
Arkansas,Jimmy Johns,102,2755,20,2
Arkansas,Firehouse Subs,54,1200,10,3
Arkansas,Quiznos,25,500,5,4
Arkansas,Jersey Mikes,5,1973,1,5
Arkansas,Jason's Deli,6,300,1,5
Arkansas,Blimpie,0,156,0,7
Arkansas,Schlotzsky's,0,330,0,7
Arkansas,Which Wich,3,431,0,7
Arkansas,Potbelly Sandwich,2,474,0,7
California,Subway,259,37540,70,1
California,Jimmy Johns,40,2755,10,2
California,Jersey Mikes,29,1973,7,3
California,Quiznos,23,500,6,4
California,Firehouse Subs,9,1200,2,5
California,Which Wich,4,431,1,6
California,Blimpie,0,156,0,7
California,Schlotzsky's,0,330,0,7
California,Potbelly Sandwich,0,474,0,7
California,Jason's Deli,1,300,0,7
Colorado,Jimmy Johns,181,2755,47,1
Colorado,Subway,135,37540,35,2
Colorado,Quiznos,20,500,5,3
Colorado,Firehouse Subs,22,1200,5,3
Colorado,Jersey Mikes,10,1973,2,5
Colorado,Which Wich,10,431,2,5
Colorado,Jason's Deli,4,300,1,7
Colorado,Blimpie,0,156,0,8
Colorado,Schlotzsky's,0,330,0,8
Colorado,Potbelly Sandwich,1,474,0,8
Connecticut,Subway,123,37540,79,1
Connecticut,Jersey Mikes,14,1973,9,2
Connecticut,Jimmy Johns,8,2755,5,3
Connecticut,Quiznos,5,500,3,4
Connecticut,Firehouse Subs,4,1200,2,5
Connecticut,Blimpie,0,156,0,6
Connecticut,Schlotzsky's,0,330,0,6
Connecticut,Which Wich,0,431,0,6
Connecticut,Potbelly Sandwich,0,474,0,6
Connecticut,Jason's Deli,0,300,0,6
Delaware,Subway,88,37540,65,1
Delaware,Jimmy Johns,26,2755,19,2
Delaware,Jersey Mikes,11,1973,8,3
Delaware,Quiznos,8,500,5,4
Delaware,Blimpie,0,156,0,5
Delaware,Schlotzsky's,0,330,0,5
Delaware,Firehouse Subs,1,1200,0,5
Delaware,Which Wich,0,431,0,5
Delaware,Potbelly Sandwich,0,474,0,5
Delaware,Jason's Deli,0,300,0,5
District of Columbia,Subway,141,37540,59,1
District of Columbia,Jimmy Johns,52,2755,21,2
District of Columbia,Quiznos,21,500,8,3
District of Columbia,Firehouse Subs,10,1200,4,4
District of Columbia,Jersey Mikes,8,1973,3,5
District of Columbia,Potbelly Sandwich,4,474,1,6
District of Columbia,Blimpie,0,156,0,7
District of Columbia,Schlotzsky's,0,330,0,7
District of Columbia,Which Wich,2,431,0,7
District of Columbia,Jason's Deli,1,300,0,7
Florida,Subway,127,37540,49,1
Florida,Jimmy Johns,73,2755,28,2
Florida,Firehouse Subs,32,1200,12,3
Florida,Jersey Mikes,13,1973,5,4
Florida,Quiznos,7,500,2,5
Florida,Jason's Deli,3,300,1,6
Florida,Blimpie,0,156,0,7
Florida,Schlotzsky's,0,330,0,7
Florida,Which Wich,0,431,0,7
Florida,Potbelly Sandwich,0,474,0,7
Georgia,Subway,169,37540,52,1
Georgia,Jimmy Johns,83,2755,25,2
Georgia,Firehouse Subs,37,1200,11,3
Georgia,Quiznos,11,500,3,4
Georgia,Jersey Mikes,11,1973,3,4
Georgia,Which Wich,5,431,1,6
Georgia,Jason's Deli,6,300,1,6
Georgia,Blimpie,3,156,0,8
Georgia,Schlotzsky's,0,330,0,8
Georgia,Potbelly Sandwich,0,474,0,8
Hawaii,Subway,1075,37540,83,1
Hawaii,Jersey Mikes,79,1973,6,2
Hawaii,Quiznos,75,500,5,3
Hawaii,Jimmy Johns,48,2755,3,4
Hawaii,Blimpie,0,156,0,5
Hawaii,Schlotzsky's,0,330,0,5
Hawaii,Firehouse Subs,10,1200,0,5
Hawaii,Which Wich,2,431,0,5
Hawaii,Potbelly Sandwich,0,474,0,5
Hawaii,Jason's Deli,0,300,0,5
Idaho,Jimmy Johns,384,2755,46,1
Idaho,Subway,330,37540,39,2
Idaho,Blimpie,40,156,4,3
Idaho,Quiznos,30,500,3,4
Idaho,Firehouse Subs,32,1200,3,4
Idaho,Jersey Mikes,11,1973,1,6
Idaho,Schlotzsky's,0,330,0,7
Idaho,Which Wich,0,431,0,7
Idaho,Potbelly Sandwich,0,474,0,7
Idaho,Jason's Deli,0,300,0,7
Illinois,Jimmy Johns,252,2755,49,1
Illinois,Subway,204,37540,40,2
Illinois,Quiznos,16,500,3,3
Illinois,Jersey Mikes,19,1973,3,3
Illinois,Firehouse Subs,11,1200,2,5
Illinois,Blimpie,0,156,0,6
Illinois,Schlotzsky's,0,330,0,6
Illinois,Which Wich,0,431,0,6
Illinois,Potbelly Sandwich,3,474,0,6
Illinois,Jason's Deli,3,300,0,6
Indiana,Jimmy Johns,275,2755,46,1
Indiana,Subway,265,37540,45,2
Indiana,Firehouse Subs,20,1200,3,3
Indiana,Quiznos,11,500,1,4
Indiana,Jersey Mikes,8,1973,1,4
Indiana,Blimpie,0,156,0,6
Indiana,Schlotzsky's,0,330,0,6
Indiana,Which Wich,4,431,0,6
Indiana,Potbelly Sandwich,2,474,0,6
Indiana,Jason's Deli,1,300,0,6
Iowa,Jimmy Johns,435,2755,52,1
Iowa,Subway,320,37540,38,2
Iowa,Quiznos,37,500,4,3
Iowa,Firehouse Subs,23,1200,2,4
Iowa,Blimpie,5,156,0,5
Iowa,Schlotzsky's,0,330,0,5
Iowa,Jersey Mikes,6,1973,0,5
