geoName,Name,RelativePopularity,Locations,PercentageBreakdown,Rank
Alabama,Subway,64,37540,41,1
Alabama,Jimmy Johns,40,2755,26,2
Alabama,Firehouse Subs,29,1200,18,3
Alabama,Quiznos,6,500,3,4
Alabama,Jersey Mikes,6,1973,3,4
Alabama,Which Wich,4,431,2,6
Alabama,Jason's Deli,4,300,2,6
Alabama,Blimpie,0,156,0,8
Alabama,Schlotzsky's,0,330,0,8
Alabama,Potbelly Sandwich,0,474,0,8
Alaska,Subway,97,37540,32,1
Alaska,Quiznos,73,500,24,2
Alaska,Firehouse Subs,66,1200,22,3
Alaska,Jimmy Johns,54,2755,18,4
Alaska,Schlotzsky's,4,330,1,5
Alaska,Blimpie,0,156,0,6
Alaska,Jersey Mikes,0,1973,0,6
Alaska,Which Wich,0,431,0,6
Alaska,Potbelly Sandwich,0,474,0,6
Alaska,Jason's Deli,0,300,0,6
Arizona,Subway,74,37540,31,1
Arizona,Jimmy Johns,68,2755,29,2
Arizona,Firehouse Subs,31,1200,13,3
Arizona,Jersey Mikes,22,1973,9,4
Arizona,Quiznos,19,500,8,5
Arizona,Jason's Deli,5,300,2,6
Arizona,Blimpie,4,156,1,7
Arizona,Which Wich,4,431,1,7
Arizona,Potbelly Sandwich,4,474,1,7
Arizona,Schlotzsky's,2,330,0,10
Arkansas,Subway,77,37540,37,1
Arkansas,Jimmy Johns,52,2755,25,2
Arkansas,Firehouse Subs,37,1200,17,3
Arkansas,Quiznos,21,500,10,4
Arkansas,Jersey Mikes,6,1973,2,5
Arkansas,Jason's Deli,6,300,2,5
Arkansas,Which Wich,3,431,1,7
Arkansas,Blimpie,0,156,0,8
Arkansas,Schlotzsky's,2,330,0,8
Arkansas,Potbelly Sandwich,2,474,0,8
California,Subway,72,37540,46,1
California,Jimmy Johns,28,2755,18,2
California,Jersey Mikes,22,1973,14,3
California,Quiznos,19,500,12,4
California,Firehouse Subs,9,1200,5,5
California,Which Wich,4,431,2,6
California,Blimpie,1,156,0,7
California,Schlotzsky's,0,330,0,7
California,Potbelly Sandwich,0,474,0,7
California,Jason's Deli,0,300,0,7
Colorado,Jimmy Johns,66,2755,35,1
Colorado,Subway,59,37540,31,2
Colorado,Quiznos,20,500,10,3
Colorado,Firehouse Subs,18,1200,9,4
Colorado,Jersey Mikes,10,1973,5,5
Colorado,Which Wich,9,431,4,6
Colorado,Jason's Deli,3,300,1,7
Colorado,Blimpie,1,156,0,8
Colorado,Schlotzsky's,0,330,0,8
Colorado,Potbelly Sandwich,1,474,0,8
Connecticut,Subway,56,37540,66,1
Connecticut,Jersey Mikes,12,1973,14,2
Connecticut,Jimmy Johns,7,2755,8,3
Connecticut,Quiznos,5,500,5,4
Connecticut,Firehouse Subs,3,1200,3,5
Connecticut,Blimpie,1,156,1,6
Connecticut,Schlotzsky's,0,330,0,7
Connecticut,Which Wich,0,431,0,7
Connecticut,Potbelly Sandwich,0,474,0,7
Connecticut,Jason's Deli,0,300,0,7
Delaware,Subway,47,37540,54,1
Delaware,Jimmy Johns,20,2755,22,2
Delaware,Quiznos,9,500,10,3
Delaware,Jersey Mikes,9,1973,10,3
Delaware,Firehouse Subs,2,1200,2,5
Delaware,Blimpie,0,156,0,6
Delaware,Schlotzsky's,0,330,0,6
Delaware,Which Wich,0,431,0,6
Delaware,Potbelly Sandwich,0,474,0,6
Delaware,Jason's Deli,0,300,0,6
District of Columbia,Subway,60,37540,43,1
District of Columbia,Jimmy Johns,35,2755,25,2
District of Columbia,Quiznos,17,500,12,3
District of Columbia,Firehouse Subs,10,1200,7,4
District of Columbia,Jersey Mikes,8,1973,5,5
District of Columbia,Potbelly Sandwich,3,474,2,6
District of Columbia,Which Wich,2,431,1,7
District of Columbia,Blimpie,1,156,0,8
District of Columbia,Schlotzsky's,0,330,0,8
District of Columbia,Jason's Deli,1,300,0,8
Florida,Subway,56,37540,38,1
Florida,Jimmy Johns,43,2755,29,2
Florida,Firehouse Subs,24,1200,16,3
Florida,Jersey Mikes,12,1973,8,4
Florida,Quiznos,7,500,4,5
Florida,Jason's Deli,2,300,1,6
Florida,Blimpie,0,156,0,7
Florida,Schlotzsky's,0,330,0,7
Florida,Which Wich,1,431,0,7
Florida,Potbelly Sandwich,0,474,0,7
Georgia,Subway,64,37540,36,1
Georgia,Jimmy Johns,47,2755,26,2
Georgia,Firehouse Subs,28,1200,15,3
Georgia,Jersey Mikes,12,1973,6,4
Georgia,Quiznos,10,500,5,5
Georgia,Which Wich,6,431,3,6
Georgia,Jason's Deli,6,300,3,6
Georgia,Blimpie,3,156,1,8
Georgia,Schlotzsky's,0,330,0,9
Georgia,Potbelly Sandwich,0,474,0,9
Hawaii,Subway,93,37540,40,1
Hawaii,Quiznos,44,500,18,2
Hawaii,Jersey Mikes,44,1973,18,2
Hawaii,Jimmy Johns,32,2755,13,4
Hawaii,Firehouse Subs,10,1200,4,5
Hawaii,Blimpie,6,156,2,6
Hawaii,Which Wich,3,431,1,7
Hawaii,Schlotzsky's,0,330,0,8
Hawaii,Potbelly Sandwich,0,474,0,8
Hawaii,Jason's Deli,0,300,0,8
Idaho,Jimmy Johns,80,2755,32,1
Idaho,Subway,76,37540,30,2
Idaho,Blimpie,30,156,12,3
Idaho,Firehouse Subs,25,1200,10,4
Idaho,Quiznos,24,500,9,5
Idaho,Jersey Mikes,11,1973,4,6
Idaho,Schlotzsky's,0,330,0,7
Idaho,Which Wich,2,431,0,7
Idaho,Potbelly Sandwich,0,474,0,7
Idaho,Jason's Deli,0,300,0,7
